# curie_map:
#   owl: http://www.w3.org/2002/07/owl#
#   schema: https://schema.org/
#   dct: http://purl.org/dc/terms/
#   kobo: https://example.org/kobo/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   ext: https://example.org/sssom-extensions/
# extension_definitions:
#   - slot_name: source_jsonpath
#     property: ext:source_jsonpath
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: target_jsonpath
#     property: ext:target_jsonpath
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: transform_rule
#     property: ext:transform_rule
#     type_hint: http://www.w3.org/2001/XMLSchema#string
# mapping_set_id: https://gdsc.idsc.miami.edu/mappings/kobo_form_reusable
# mapping_set_title: "GDSC reusable KoboToolbox authoring form to Science-on-Schema.org"
# mapping_set_description: "Reusable, record-number-agnostic SSSOM mapping from the KoboToolbox metadata authoring form (vector/raster/table) to Science-on-Schema.org JSON-LD. Field-level union of the form schema; conditional vector-only and raster-only rows no-op harmlessly when absent. AI-assisted authoring; human curation required."
# mapping_set_target_profile: science_on_schema_org
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	predicate_id	object_id	mapping_justification	confidence	subject_label	object_label	subject_category	object_category	source_jsonpath	target_jsonpath	transform_rule	comment
kobo:Dataset	skos:exactMatch	schema:Dataset	semapv:ManualMappingCuration	1.0	Kobo dataset record	Dataset	owl:Class	owl:Class	$.datasets[*]	$	create_dataset_object_with_id	A Each Kobo submission -> one schema:Dataset; @id from etl_group/table_name.
kobo:title	skos:exactMatch	schema:name	semapv:ManualMappingCuration	1.0	Title	name	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/title']	$.name	string	A Kobo title is the Schema.org Dataset name.
kobo:description	skos:exactMatch	schema:description	semapv:ManualMappingCuration	1.0	Description	description	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/description']	$.description	string	A Dataset abstract or description.
kobo:doi	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	1.0	DOI	identifier	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/doi']	$.identifier	doi_to_propertyvalue	"A Emit {""@type"":""PropertyValue"",""propertyID"":""https://registry.identifiers.org/registry/doi"",""value"":""doi:{value}"",""url"":""https://doi.org/{value}""}."
kobo:_id	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	1.0	Kobo record id	identifier	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['_id']	$.identifier	property_value:name=external_id	A Kobo record id -> schema:identifier PropertyValue (deliberate exception; coexists with doi as identifier array).
kobo:url	skos:exactMatch	schema:url	semapv:ManualMappingCuration	1.0	URL	url	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/url']	$.url	string	A Dataset landing page URL.
kobo:license	skos:exactMatch	schema:license	semapv:ManualMappingCuration	1.0	License	license	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/license']	$.license	license_code_to_uri:cc_by=https://creativecommons.org/licenses/by/4.0/,cc0=https://creativecommons.org/publicdomain/zero/1.0/,cc_by_sa=https://creativecommons.org/licenses/by-sa/4.0/,cc_by_nc=https://creativecommons.org/licenses/by-nc/4.0/,odc_by=https://opendatacommons.org/licenses/by/1.0/	A Map known license codes to URIs (cc_by,cc0,cc_by_sa,cc_by_nc,odc_by). NOTE: value 'public_domain' seen in live data is unmapped -> curator must assign a URI.
kobo:language	skos:exactMatch	schema:inLanguage	semapv:ManualMappingCuration	1.0	Language	inLanguage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/language']	$.inLanguage	string	A Language code.
kobo:publication_date	skos:exactMatch	schema:datePublished	semapv:ManualMappingCuration	1.0	Publication date	datePublished	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/publication_date']	$.datePublished	date	A Publication date.
kobo:last_updated	skos:exactMatch	schema:dateModified	semapv:ManualMappingCuration	1.0	Last updated	dateModified	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/last_updated']	$.dateModified	date	A Last data update.
kobo:creator_name	skos:closeMatch	schema:creator	semapv:ManualMappingCuration	0.9	Creator name	creator	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/creator_group'][*]	$.creator	role_organization_array	D Map creator_name→Organization.name, creator_affiliation→Organization description; wrap each in a Role object with roleName=creator.
kobo:publisher_name	skos:closeMatch	schema:provider	semapv:ManualMappingCuration	0.85	Publisher name	provider	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/publisher_group'][*]	$.provider	provider_organization_array	D Map publisher_name→Organization.name; resolve known institutions to ROR @id (University of Miami GDSC→https://ror.org/02y3ad647).
kobo:coverage_name	skos:closeMatch	schema:spatialCoverage	semapv:ManualMappingCuration	0.85	Coverage name	spatialCoverage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/coverage_group'][*]	$.spatialCoverage	place_object_with_geonames	D Map coverage_name→Place.name; build additionalProperty with GeoNames link from coverage_identifier and coverage_identifier_schema_uri. Bounding box geo.box must be supplied externally.
kobo:subject_terms	skos:closeMatch	schema:keywords	semapv:ManualMappingCuration	0.9	Subject terms	keywords	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/subject_group'][*]['dublin_core_group/subject_group/subject_term']	$.keywords	array	A Subject terms are discoverability keywords.
